old_path	old_bytes	webp_bytes	saved_bytes
pos/assets/amaretto_auth.jpg	12576	11652	924
pos/assets/apfelpunsch_auth.jpg	10689	9596	1093
pos/assets/becher_auth.jpg	8678	7180	1498
pos/assets/bratwurst.jpg	23536	14582	8954
pos/assets/brezel.jpg	22792	13812	8980
pos/assets/cappuccino.jpg	19756	11620	8136
pos/assets/cola.jpg	15332	7674	7658
pos/assets/currywurst.jpg	22969	14142	8827
pos/assets/eierlikoerpunsch_auth.jpg	8801	6970	1831
pos/assets/erbsensuppe.jpg	22475	13226	9249
pos/assets/fanta.jpg	16564	8858	7706
pos/assets/feuerzangenbowle_auth.jpg	8817	7110	1707
pos/assets/gluehwein_rot.jpg	24921	15554	9367
pos/assets/gluehwein_rot_auth.jpg	7065	4834	2231
pos/assets/gluehwein_weiss.jpg	24846	15582	9264
pos/assets/gluehwein_weiss_auth.jpg	8608	6822	1786
pos/assets/gruenkohl_auth.jpg	11514	10604	910
pos/assets/gruenkohl_mettwurst_auth.jpg	11836	10984	852
pos/assets/kaffee.jpg	17771	9330	8441
pos/assets/kakao.jpg	18067	9870	8197
pos/assets/kinderpunsch.jpg	24023	14724	9299
pos/assets/logo.png	20064	15842	4222
pos/assets/pfandglas_auth.jpg	11827	11508	319
pos/assets/pommes.jpg	20569	11962	8607
pos/assets/sauerkraut_auth.jpg	10426	9084	1342
pos/assets/sauerkraut_mettwurst_auth.jpg	10447	9096	1351
pos/assets/schokolade.jpg	21473	12826	8647
pos/assets/wasser.jpg	15739	8508	7231
avatar-core/assets/chef/chef_female_neutral.png	272586	17202	255384
avatar-core/assets/chef/chef_female_neutral_armless_v0257.png	1761717	57910	1703807
avatar-core/assets/chef/chef_male_approve.png	163754	11304	152450
avatar-core/assets/chef/chef_male_neutral.png	307627	20390	287237
avatar-core/assets/chef/chef_male_neutral_armless_v0257.png	1527032	49452	1477580
avatar-core/assets/chef/chef_male_smile.png	147878	9754	138124
avatar-core/assets/chef/chef_male_speaking.png	150449	10032	140417
avatar-core/assets/chef/chef_male_thinking.png	156957	10654	146303
avatar-core/assets/chef/chef_male_wave.png	184251	13678	170573
